author_id,author_name,author_page_url,birthplace,book_average_rating,book_fullurl,book_id,book_title,genre_1,genre_2,pages,year_publication,fiction_nonfiction,period_publication,genre_number
6644072,Susie Finkbeiner ,/author/show/6644072.Susie_Finkbeiner,Unknown,4.72,https://www.goodreads.com/book/show/20837170-my-mother-s-chamomile,20837170,       My Mother's Chamomile ,Christian Fiction,Fiction,314,2014,Fiction,21st century,2
3176814,Cynthia Ruchti ,/author/show/3176814.Cynthia_Ruchti,Unknown,4.26,https://www.goodreads.com/book/show/18981875-all-my-belongings,18981875,       All My Belongings ,Christian Fiction,Romance,336,2014,Fiction,21st century,2
151399,Leslie Gould ,/author/show/151399.Leslie_Gould,Unknown,4.03,https://www.goodreads.com/book/show/17934563-minding-molly,17934563,       Minding Molly ,Christian Fiction,Christian Fiction,347,2014,Fiction,21st century,2
3112212,Courtney Cole ,/author/show/3112212.Courtney_Cole,USA and Canada,3.94,https://www.goodreads.com/book/show/17032328-if-you-stay,17032328,       If You Stay ,Romance,Romance,351,2013,Fiction,21st century,11
1224900,Beth Wiseman ,/author/show/1224900.Beth_Wiseman,Unknown,4.08,https://www.goodreads.com/book/show/18104070-an-amish-garden,18104070,       An Amish Garden ,Christian Fiction,Christian Fiction,416,2014,Fiction,21st century,2
8476,CLAMP ,/author/show/8476.CLAMP,Asia,4.11,https://www.goodreads.com/book/show/13570.Tsubasa,13570,"       Tsubasa: RESERVoir CHRoNiCLE, Vol. 1 ","Comics, Graphic Novels & Manga",Fantasy,197,2003,Fiction,21st century,4
7115378,Kate Breslin ,/author/show/7115378.Kate_Breslin,USA and Canada,3.86,https://www.goodreads.com/book/show/18008080-for-such-a-time,18008080,       For Such a Time ,Historical,Christian Fiction,430,2014,Fiction,21st century,7
732829,Yuu Watase ,/author/show/732829.Yuu_Watase,Asia,4.07,https://www.goodreads.com/book/show/568592.Fushigi_Y_gi,568592,"       Fushigi Yûgi: The Mysterious Play, Vol. 1: Priestess ","Comics, Graphic Novels & Manga",Fantasy,197,1992,Fiction,20th century or before,4
12948,Rumiko Takahashi ,/author/show/12948.Rumiko_Takahashi,Asia,4.26,https://www.goodreads.com/book/show/330744.InuYasha,330744,       InuYasha: Turning Back Time ,"Comics, Graphic Novels & Manga",Fantasy,192,1997,Fiction,20th century or before,4
2776647,Hiro Fujiwara ,/author/show/2776647.Hiro_Fujiwara,Asia,4.52,https://www.goodreads.com/book/show/6081686-maid-sama-vol-02,6081686,       Maid-sama! Vol. 02 ,"Comics, Graphic Novels & Manga",Romance,208,2007,Fiction,21st century,4
3014313,Mina V. Esguerra ,/author/show/3014313.Mina_V_Esguerra,Unknown,4.11,https://www.goodreads.com/book/show/13575706-that-kind-of-guy,13575706,       That Kind of Guy ,Romance,Womens Fiction,170,2012,Fiction,21st century,11
7143940,Kimberly Joy Villanueva ,/author/show/7143940.Kimberly_Joy_Villanueva,Asia,4.29,https://www.goodreads.com/book/show/18108542-the-bet,18108542,       The Bet ,Romance,Young Adult,276,2013,Fiction,21st century,11
2088666,M. Chandler ,/author/show/2088666.M_Chandler,USA and Canada,3.85,https://www.goodreads.com/book/show/7459958-the-morning-star,7459958,       Shadow of the Templar: The Morning Star ,Romance,Mystery,0,2009,Fiction,21st century,11
4968409,Rhys Ford ,/author/show/4968409.Rhys_Ford,USA and Canada,4.03,https://www.goodreads.com/book/show/11787563-dirty-kiss,11787563,       Dirty Kiss ,Romance,Mystery,216,2011,Fiction,21st century,11
15635485,Lucia Laurent ,/author/show/15635485.Lucia_Laurent,Unknown,3.98,https://www.goodreads.com/book/show/31546390-in-vogue,31546390,       In Vogue ,Romance,Romance,316,2016,Fiction,21st century,11
68990,Miles Franklin ,/author/show/68990.Miles_Franklin,Oceania,3.82,https://www.goodreads.com/book/show/119042.My_Brilliant_Career,119042,       My Brilliant Career ,Classics,Fiction,280,1901,Fiction,20th century or before,3
559563,Susan Peek ,/author/show/559563.Susan_Peek,USA and Canada,4.59,https://www.goodreads.com/book/show/35075872-the-king-s-prey,35075872,       The King's Prey: Saint Dymphna of Ireland ,Young Adult,Historical,316,2017,Fiction,21st century,14
14680245,Stephanie Engelman ,/author/show/14680245.Stephanie_Engelman,USA and Canada,4.57,https://www.goodreads.com/book/show/27847095-a-single-bead,27847095,       A Single Bead ,Young Adult,Young Adult,208,2016,Fiction,21st century,14
8155887,Alex Tully ,/author/show/8155887.Alex_Tully,USA and Canada,4.0,https://www.goodreads.com/book/show/36303083-hope-for-garbage,36303083,       Hope for Garbage ,Young Adult,Romance,269,2014,Fiction,21st century,14
7536051,Madeleine Kuderick ,/author/show/7536051.Madeleine_Kuderick,USA and Canada,3.59,https://www.goodreads.com/book/show/20306810-kiss-of-broken-glass,20306810,       Kiss of Broken Glass ,Young Adult,Contemporary,224,2014,Fiction,21st century,14
