author_average_rating,author_gender,author_genres,author_id,author_name,author_page_url,author_rating_count,author_review_count,birthplace,book_average_rating,book_fullurl,book_id,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
3.55,female,"historical-fiction,contemporary,",932941,Gin Phillips ,/author/show/932941.Gin_Phillips,18216,3448,USA and Canada,3.76,https://www.goodreads.com/book/show/2053020.The_Well_and_the_Mine,2053020,       The Well and the Mine ,Fiction,Historical,3167,609,251,2008,670
3.92,female,"literature-fiction,",972440,Hillary Jordan ,/author/show/972440.Hillary_Jordan,81603,9837,USA and Canada,3.67,https://www.goodreads.com/book/show/11045709-when-she-woke,11045709,       When She Woke ,Fiction,Science Fiction,23884,4141,344,2011,710
3.68,female,"literature-fiction,short-stories,",193302,Gil Adamson ,/author/show/193302.Gil_Adamson,8124,1372,Unknown,3.7,https://www.goodreads.com/book/show/995815.The_Outlander,995815,       The Outlander ,Fiction,Historical,7773,1317,387,2007,742
4.07,female,"travel,literature-fiction,",147204,Cornelia Otis Skinner ,/author/show/147204.Cornelia_Otis_Skinner,1824,253,USA and Canada,4.1,https://www.goodreads.com/book/show/251882.Our_Hearts_Were_Young_and_Gay,251882,       Our Hearts Were Young and Gay: An Unforgettable Comic Chronicle of Innocents Abroad in the 1920s ,Nonfiction,Humor,1537,197,208,1942,748
3.91,female,"literature-fiction,",2098,Elizabeth von Arnim ,/author/show/2098.Elizabeth_von_Arnim,19051,2888,Oceania,3.96,https://www.goodreads.com/book/show/3077.The_Enchanted_April,3077,       The Enchanted April ,Fiction,Classics,13174,1940,232,1922,802
3.47,female,"literature-fiction,",50416,Fay Weldon ,/author/show/50416.Fay_Weldon,21130,2364,Europe,3.76,https://www.goodreads.com/book/show/135048.The_Life_and_Loves_of_a_She_Devil,135048,       The Life and Loves of a She Devil ,Fiction,Feminism,3887,289,256,1983,853
3.77,female,"literature-fiction,",1415543,Saundra Mitchell ,/author/show/1415543.Saundra_Mitchell,22093,4155,USA and Canada,3.53,https://www.goodreads.com/book/show/3351354-shadowed-summer,3351354,       Shadowed Summer ,Young Adult,Fantasy,1359,259,192,2009,3396
3.71,female,"literature-fiction,mystery,",345873,Joan Lindsay ,/author/show/345873.Joan_Lindsay,11205,1202,Oceania,3.72,https://www.goodreads.com/book/show/791345.Picnic_at_Hanging_Rock,791345,       Picnic at Hanging Rock ,Classics,Fiction,10878,1150,189,1967,2102
4.17,female,"biographies-memoirs,",58918,Helene Hanff ,/author/show/58918.Helene_Hanff,43194,6500,USA and Canada,4.19,https://www.goodreads.com/book/show/368916.84_Charing_Cross_Road,368916,"       84, Charing Cross Road ",Nonfiction,Writing,34647,5068,97,1970,1963
4.14,female,"nonfiction,",7982,Anne Fadiman ,/author/show/7982.Anne_Fadiman,73056,6386,USA and Canada,4.16,https://www.goodreads.com/book/show/12609.The_Spirit_Catches_You_and_You_Fall_Down,12609,"       The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures ",Nonfiction,Health,58284,4218,341,1997,3871
3.78,female,"romance,",3159044,J.M. Stewart ,/author/show/3159044.J_M_Stewart,2438,619,USA and Canada,3.73,https://www.goodreads.com/book/show/18759734-risking-it-all,18759734,       Risking It All ,Romance,Romance,93,41,213,June 8th 2010,1692
4.11,female,"erotica,mystery,",7149925,Nina G. Jones ,/author/show/7149925.Nina_G_Jones,16602,2274,USA and Canada,3.83,https://www.goodreads.com/book/show/22018254-gorgeous-rotten-scoundrel,22018254,       Gorgeous Rotten Scoundrel ,Romance,Romance,816,134,270,2014,1761
4.05,female,"fiction,",6644044,Kim Karr ,/author/show/6644044.Kim_Karr,71662,9265,USA and Canada,4.05,https://www.goodreads.com/book/show/17569778-frayed,17569778,       Frayed ,Romance,New Adult,1810,215,304,2014,1939
4.02,female,"romance,",7173896,Skye Callahan ,/author/show/7173896.Skye_Callahan,6223,1246,Unknown,3.97,https://www.goodreads.com/book/show/38833646-irrevocable,38833646,       Irrevocable ,Dark,Erotica,2603,357,260,July 13th 2014,1961
4.4,female,"romance,",6916632,Shauna Allen ,/author/show/6916632.Shauna_Allen,3174,1038,USA and Canada,4.84,https://www.goodreads.com/book/show/22517568-cupid-s-last-stand,22517568,       Cupid's Last Stand ,Fantasy,See top shelves…,55,38,315,June 18th 2014,2974
4.04,female,"romance,",7496678,Mary  Elizabeth ,/author/show/7496678.Mary_Elizabeth,9472,2083,Unknown,4.0,https://www.goodreads.com/book/show/19214578-innocents,19214578,       Innocents ,New Adult,Romance,3616,682,282,July 12th 2014,3865
